Mice,TrialType,Trials,Ingress_Fit,Ingress_Mag,Tremble_Mag,Tremble_Dur,Ingress_onset,TrialType_Generic
PW16,CS+1,1,0.941108906555211,0.0369207466844462,0.0216941043883571,0.202875,NaN,CS+
PW16,CS+1,2,0.972457644747038,0.261093663570445,0.0152004634457671,0.186332428548619,0.521916666666667,CS+
PW16,CS+1,3,0.896836089929943,0,0.0128882012527738,0.17675,NaN,CS+
PW16,CS+1,4,0.862695910843062,0.0238502636718305,0.0214954345876379,0.1705,NaN,CS+
PW16,CS+1,5,0.892772373117161,0.68119330363723,0.0516283185342895,0.240641711229947,0.483083333333333,CS+
PW16,CS+1,6,0.429032783022551,0.00307862145064225,0.00821741930618527,0.055,NaN,CS+
PW16,CS+1,7,0.325761218225594,0,0.00576115362211454,0.08575,NaN,CS+
PW16,CS+1,8,0.985677234911919,0.221649500363787,0.0619661897131168,0.146899524704322,0.753916666666667,CS+
PW16,CS+1,9,0.50076325310287,0,0.00597047940882333,0.04475,NaN,CS+
PW16,CS+1,10,0.957652499133299,0.192705686056592,0.0443268334191112,0.364742917103882,0.397083333333333,CS+
PW16,CS+2,1,0.702243951869724,0.0495410079097185,0.00387160920504702,0.47014115092291,0.07675,CS+
PW16,CS+2,2,0.848749697284855,0.0116427262099437,0.0143843016532916,0.242,NaN,CS+
PW16,CS+2,3,0.990137550200016,0.67591374395952,0.130351948088109,0.370556295461531,0.813416666666667,CS+
PW16,CS+2,4,0.822097074795778,0.0188233387942635,0.0172387859187278,0.182875,NaN,CS+
PW16,CS+2,5,0.362460898739591,0.00238075847525704,0.00847988182543,0.058375,NaN,CS+
PW16,CS+2,6,0.732213218954115,0,0.00764358201643865,0.058625,NaN,CS+
PW16,CS+2,7,0.991294308793608,0.325731512894168,0.113942629787976,0.3042071197411,0.43775,CS+
PW16,CS+2,8,0.997897715284751,0.435034818363265,0.0121319587866014,0.191419816138917,0.407916666666667,CS+
PW16,CS+2,9,0.687519844539597,0.0109665056089193,0.0171899807946729,0.151875,NaN,CS+
PW16,CS+2,10,0.98792525190425,0.3719528249671,0.118661852255478,0.698480716790027,0.213916666666667,CS+
PW18,CS+1,1,0.979594574325418,0.0711243945612061,NaN,0.409495548961424,0.0280833333333333,CS+
PW18,CS+1,2,0.856703237051706,0,0.0166920064548088,0.363,NaN,CS+
PW18,CS+1,3,0.753387480334674,0,0.00456288230313821,0,NaN,CS+
PW18,CS+1,4,0.729356614655966,0,0.0114905118376297,0.107375,NaN,CS+
PW18,CS+1,5,0.901273766127025,0,0.00224306847717565,0,NaN,CS+
PW18,CS+1,6,0.970509292998595,0.0362376272481947,0.00554708161773359,0.03825,NaN,CS+
PW18,CS+1,7,0.818787887053654,0,0.00160135809278936,0,NaN,CS+
PW18,CS+1,8,0.974153478059133,0.0763504876173104,NaN,1.00308641975309,0.027,CS+
PW18,CS+1,9,0.961149678210732,0.0223356242634121,0.00148393430061093,0,0.066,CS+
PW18,CS+1,10,0.775153515954877,0.0469990932103108,0.00539054437059512,1.00166666666667,0.05,CS+
PW18,CS+2,1,0.946669568865994,0.0112465967397112,0.0127814865584168,0.14675,NaN,CS+
PW18,CS+2,2,0.899800122597343,0,0.0093702580764031,0.129,NaN,CS+
PW18,CS+2,3,0.524619433193328,0.0015339185882834,0.00737971184950452,0.044625,NaN,CS+
PW18,CS+2,4,0.807457912380097,0,0.0149829994688244,0.10975,NaN,CS+
PW18,CS+2,5,0.85398825053027,0.0115335439087856,0.0137268246117718,0.096125,NaN,CS+
PW18,CS+2,6,0.909154954302773,0.65878775666973,0.00797635408651783,0.198969735994849,0.7765,CS+
PW18,CS+2,7,0.192323049226051,0,0.00375556037840338,0,NaN,CS+
PW18,CS+2,8,0.747649880748778,0,0.0110807454185106,0.105625,NaN,CS+
PW18,CS+2,9,0.945171931829959,0.4810497515095,0.192047975547894,0.443076923076923,0.541666666666667,CS+
PW18,CS+2,10,0.851646861319001,0,0.0163409359412948,0.188875,NaN,CS+
PW19,CS+1,1,0.923030863181907,0,0.0445686807266927,0.253875,NaN,CS+
PW19,CS+1,2,0.96749287764997,0,0.00798733937952704,0.166625,NaN,CS+
PW19,CS+1,3,0.962821231136109,0,0.00196168574724166,0,NaN,CS+
PW19,CS+1,4,0.930571382707131,0.0118095260134604,0.00434384394908819,0,NaN,CS+
PW19,CS+1,5,0.327252070434344,0,0.00235627449964048,0,NaN,CS+
PW19,CS+1,6,0.962828958377165,0.0759943604928588,0.00650997725770674,0.289156626506024,0.242083333333333,CS+
PW19,CS+1,7,0.757480870432745,0.00387394005844832,0.00389971342918002,0,NaN,CS+
PW19,CS+1,8,0.375490261026618,0,0.00464785736195558,0,NaN,CS+
PW19,CS+1,9,0.758110782343689,0,0.00196526560283951,0,NaN,CS+
PW19,CS+1,10,0.951207762656058,0.0385606520688109,0.00539489295941116,0.0706100622067009,0.763583333333333,CS+
PW19,CS+2,1,0.996254128957826,0.877252870286309,0.399097496673894,0.737369139736004,0.366166666666667,CS+
PW19,CS+2,2,0.834183545279033,0,0.00550024614353256,0.052,NaN,CS+
PW19,CS+2,3,0.957153508017213,0.0134800519459142,0.00240419754203995,0,NaN,CS+
PW19,CS+2,4,0.718417332973428,0,0.00955149011420257,0.08,NaN,CS+
PW19,CS+2,5,0.497442049087298,0.00386467082078399,0.00482382620361937,0,NaN,CS+
PW19,CS+2,6,0.480833635937315,0.00487085004952898,0.00655927979006401,0.119,NaN,CS+
PW19,CS+2,7,0.930077703939285,0.0274404412059798,NaN,0,0.0139166666666667,CS+
PW19,CS+2,8,0.895325819845013,0.0156474111647731,0.00925113058004727,0.106375,NaN,CS+
PW19,CS+2,9,0.512052218358076,0,0.00451030087694285,0,NaN,CS+
PW19,CS+2,10,0.551674954072817,0.00165571899478864,0.0018813380679652,0,NaN,CS+
PW27,CS+1,1,0.985015616503936,0,0.0161517838352189,0.469375,NaN,CS+
PW27,CS+1,2,0.971520767736029,0,0.0165136876274355,0.09025,NaN,CS+
PW27,CS+1,3,0.945428676725843,0,0.0126512129213221,0.374,NaN,CS+
PW27,CS+1,4,0.974214403772514,0,0.0102383082486674,0.159625,NaN,CS+
PW27,CS+1,5,0.988101600835292,0.230117333974948,0.390035205400573,0.504324078288575,0.366166666666667,CS+
PW27,CS+1,6,0.953185307801666,0.103253161890552,0.0139884672856118,0.44565960355434,0.487666666666667,CS+
PW27,CS+1,7,0.968220981320305,0.167174641170925,0.205704245338827,0.390030547070258,0.600166666666667,CS+
PW27,CS+1,8,0.932132859935,0.0357923623057405,0.0535880127930985,0.146406906206253,0.714333333333333,CS+
PW27,CS+1,9,0.81176555374971,0.0625203110418637,0.113199194855599,0.835729312762973,0.475333333333333,CS+
PW27,CS+1,10,0.937521601993191,0.128967269293091,0.0844481528043597,1.00022079929344,0.377416666666667,CS+
PW27,CS+2,1,0.948098609339524,0,0.00775435311496851,0.053375,NaN,CS+
PW27,CS+2,2,0.979554259329068,0.106202684450447,0.0262815330522559,0.832555635319454,0.928666666666667,CS+
PW27,CS+2,3,0.923788153837303,0.292581658796827,0.106237294221173,0.447163515016685,0.599333333333333,CS+
PW27,CS+2,4,0.942067462310175,0.106969353308035,0.0669849816959376,0.595235230417519,0.692583333333333,CS+
PW27,CS+2,5,0.958166909192745,0.148256956594079,0.0747731525446459,0.704073545728325,0.52575,CS+
